Иврит,Транскрипция,Перевод
טיול,tiyul,"поездка, путешествие"
נסיעה,nesi'a,поездка
מטייל,metayel,путешественник
חופשה,khufsha,отпуск
מלון,malon,отель
מטוס,matos,самолёт
טיסה,tisa,полет
שדה תעופה,sde te'ufa,аэропорт
דרכון,darkon,паспорт
כרטיס טיסה,kartis tisa,билет на самолёт
מזוודה,mizvada,чемодан
מפה,mapa,карта
כיוון,kivun,направление
גבול,gvul,граница
בדיקת דרכונים,bdikat darkonim,паспортный контроль
תחנת רכבת,takhanat rakevet,вокзал
רכבת,rakevet,поезд
אוטובוס,otobus,автобус
תחנת אוטובוס,takhanat otobus,автобусная остановка
כרטיס נסיעה,kartis nesi'a,проездной билет
מונית,monit,такси
שירותים,sherutim,туалет
תחבורה ציבורית,takhbura tsiburit,общественный транспорт
מסלול,maslul,маршрут
עיר,ir,город
כפר,kfar,деревня
מדינה,medina,страна
חוף ים,khof yam,пляж
ים,yam,море
הרים,harim,горы
טבע,teva,природа
שמורת טבע,shmurat teva,заповедник
מדריך טיולים,madrikh tiyulim,гид
צילום,tsilum,фотография
מצלמה,matslema,камера
שק שינה,sak shena,спальный мешок
אוהל,ohel,палатка
קמפינג,kemping,кемпинг
מזכרות,mazkarot,сувениры
חוויה,khavaya,впечатление
זיכרון,zikaron,воспоминание
טיול מאורגן,tiyul me'urgan,организованная экскурсия
שיט,shit,плавание / круиз
דרכים,drakhim,дороги
כביש,kvish,шоссе
גשר,gesher,мост
כיוון נסיעה,kivun nesi'a,направление движения
מסלול הליכה,maslul halikha,пешеходный маршрут
מקום לינה,makom lina,место ночлега
