Иврит,Транскрипция,Перевод
אהבה,ahava,любовь
לאהוב,le'ehov,любить
לב,lev,сердце
חיבוק,khibuk,объятие
נשיקה,neshika,поцелуй
מגע,maga,прикосновение
קשר,kesher,"связь, отношения"
חיבה,khiva,симпатия
תשוקה,tshuka,страсть
רומנטיקה,romantika,романтика
דייט,deyt,свидание
אהוב,ahuv,любимый
אהובה,ahuva,любимая
ידיד,yadid,друг (близкий)
ידידה,yadida,подруга (близкая)
מאוהב,me'ohav,влюблённый
מערכת יחסים,ma'arekhet yakhassim,отношения
בן זוג,ben zug,партнёр (муж.)
בת זוג,bat zug,партнёр (жен.)
נשוי,nasuy,женат
נשואה,nesua,замужем
חתונה,khatuna,свадьба
אירוסין,irusin,помолвка
זוגיות,zugiyut,"пара, отношения"
חבר,khaver,парень
חברה,khavera,девушка
קנאה,kina,ревность
אהבה ראשונה,ahava rishona,первая любовь
מכתב אהבה,mikhtav ahava,любовное письмо
יום אהבה,yom ahava,день любви
לב פועם,lev po'em,бьющееся сердце
ריקוד רומנטי,rikud romantí,романтический танец
פרח לאהוב,perakh le'ahuv,цветок для любимого
מילים יפות,milim yafot,красивые слова
לבבות,levavot,сердечки
אהבה נצחית,ahava nitskhit,вечная любовь
אהבה ממבט ראשון,ahava mi-mabat rishon,любовь с первого взгляда
חולמים יחד,kholmim yakhad,мечтаем вместе
לחבק אותך,lekhabek otkha,обнять тебя (муж.)
לחבק אותך,lekhabek otakh,обнять тебя (жен.)
מתגעגע,mitga'agea,скучаю (муж.)
מתגעגעת,mitga'agaat,скучаю (жен.)
אתה האהבה שלי,ata ha-ahava sheli,ты моя любовь (муж.)
את האהבה שלי,at ha-ahava sheli,ты моя любовь (жен.)
לב שבור,lev shavur,разбитое сердце
חולשה לאהבה,khulsha le'ahava,слабость к любви
אהבת אמת,ahavat emet,настоящая любовь
רגעים אינטימיים,rega'im intimiyim,интимные моменты
רומנטיקן,romantikan,романтик
