Иврит,Транскрипция,Перевод
משפחה,mishpakha,семья
אבא,aba,папа
אמא,ima,мама
בן,ben,сын
בת,bat,дочь
אח,akh,брат
אחות,akhot,сестра
סבא,saba,дедушка
סבתא,savta,бабушка
נכד,nekhed,внук
נכדה,nekhda,внучка
דוד,dod,дядя
דודה,doda,тётя
בן דוד,ben dod,двоюродный брат
בת דודה,bat doda,двоюродная сестра
אחיין,akhyan,племянник
אחיינית,akhyanit,племянница
חם,kham,тесть / свёкор
חמות,khamot,тёща / свекровь
חתן,khatan,зять / жених
כלה,kala,невеста / сноха
בעל,ba'al,муж
אישה,isha,жена
תינוק,tinok,младенец (мальчик)
תינוקת,tinoket,младенец (девочка)
הורים,horim,родители
ילדים,yeladim,дети
אחים,akhim,братья
אחיות,akhayot,сёстры
בני משפחה,bnei mishpakha,члены семьи
חיי משפחה,khayei mishpakha,семейная жизнь
ארוחת ערב משפחתית,arukhat erev mishpakhtit,семейный ужин
קשר משפחתי,kesher mishpakhti,семейная связь
אבא ואמא,aba ve-ima,мама и папа
ילד טוב,yeled tov,хороший мальчик
ילדה טובה,yalda tova,хорошая девочка
בית,bayit,дом
בית חם,bayit kham,тёплый дом
משפחה קרובה,mishpakha krova,близкая семья
משפחה מורחבת,mishpakha murkhevet,расширенная семья
תמיכה משפחתית,tmikha mishpakhtit,семейная поддержка
אהבה בין אחים,ahava beyn akhim,любовь между братьями
טיפול בילדים,tipul be-yeladim,уход за детьми
לבלות עם המשפחה,levalot im ha-mishpakha,проводить время с семьёй
אח בוגר,akh boger,старший брат
אחות קטנה,akhot ktana,младшая сестра
אשתו,ishto,его жена
בעלה,ba'ala,её муж
ילד בכור,yeled bekhor,первенец (мальчик)
בת בכורה,bat bekhora,первенец (девочка)
