Иврит,Транскрипция,Перевод
כלב,kelev,собака
חתול,khatul,кот
ציפור,tsipor,птица
פרה,para,корова
סוס,sus,лошадь
כבשה,kivsa,овца
עז,ez,коза
תרנגול,tarnegol,петух
תרנגולת,tarnegolet,курица
אריה,arye,лев
טיגריס,tigris,тигр
דוב,dov,медведь
שועל,shu'al,лиса
זאב,ze'ev,волк
גמל,gamal,верблюд
פיל,pil,слон
קוף,kof,обезьяна
עכבר,akhbar,мышь
חולדה,khulda,крыса
צבי,tsvi,олень
ג'ירפה,jirafa,жираф
נמר,namer,леопард
תן,tan,шакал
עטלף,atalef,летучая мышь
חמור,khamor,осел
תיש,taysh,козел
ברווז,barvaz,утка
אווז,avaz,гусь
ינשוף,yanshuf,сова
נשר,nesher,орёл
יונה,yona,голубь
תוכי,tuki,попугай
זיקית,zikit,хамелеон
לטאה,leta'a,ящерица
נחש,nakhash,змея
צפרדע,tsfarde'a,лягушка
דג,dag,рыба
לווייתן,livyatan,кит
כריש,karish,акула
סרדין,sardin,сардина
תמנון,tamnun,осьминог
סרטן,sartan,краб
סוס ים,sus yam,морской конек
ארנב,arnav,кролик
חולדה,khulda,хомяк
טווס,tavas,павлин
יען,ya'en,страус
נמלה,nemala,муравей
דבורה,dvorá,пчела
