Иврит,Транскрипция,Перевод
מזג אוויר,mezeg avir,погода
גשם,geshem,дождь
שמש,shemesh,солнце
רוח,ruakh,ветер
שלג,sheleg,снег
ברד,barad,град
סופה,sufa,буря
סערה,se'ara,шторм
עננים,ananím,облака
שמים,shamáyim,небо
חם,kham,жарко
קר,kar,холодно
לח,lakh,влажно
יבש,yavesh,сухо
קשת,keshet,радуга
טמפרטורה,temperatura,температура
מעלות,maalot,градусы
אביב,aviv,весна
קיץ,kayits,лето
סתיו,stav,осень
חורף,khoref,зима
מטריה,mitriya,зонт
מזג אוויר נעים,mezeg avir na'im,приятная погода
גשם כבד,geshem kaved,сильный дождь
רוח חזקה,ruakh khazaka,сильный ветер
שלג כבד,sheleg kaved,сильный снег
טמפרטורה גבוהה,temperatura gvoha,высокая температура
טמפרטורה נמוכה,temperatura nemukha,низкая температура
שמים בהירים,shamayim behirim,ясное небо
שמים מעוננים,shamayim me'unanim,пасмурное небо
אובך,ovekh,дымка
ערפל,arafel,туман
ברקים,brakim,молнии
רעמים,ra'amim,гром
שטפון,shitafon,наводнение
יובש,yovesh,засуха
זריחה,zrikha,восход
שקיעה,shki'a,закат
קריר,karir,прохладно
מזג אוויר חורפי,mezeg avir khorpi,зимняя погода
מזג אוויר קיצי,mezeg avir kaytsi,летняя погода
מזג אוויר אביבי,mezeg avir avivi,весенняя погода
מזג אוויר סתווי,mezeg avir staví,осенняя погода
לחות גבוהה,lakhut gvoha,высокая влажность
לחות נמוכה,lakhut nemukha,низкая влажность
התחממות,hitkhamemut,потепление
התקררות,hitkarerut,похолодание
בריזה,briza,бриз
שמש קופחת,shemesh kofakhat,палящее солнце
